id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3209807,Modern Ocean View 2 BD w Parking.,16262596,Sundeep,,Unincorporated Areas,36.96805,-121.90045,Entire home/apt,274,2,502,2022-09-22,4.98,1,119,82,
3210074,"Peaceful & Private Seabright, 1 mile from beach",16264860,Daisy,,City of Santa Cruz,36.97507,-122.00634,Entire home/apt,284,3,311,2022-09-19,3.08,1,27,40,
3351870,La Selva Beach Getaway,4153526,Bob,,Unincorporated Areas,36.92174,-121.85153,Entire home/apt,514,5,71,2022-05-31,0.71,1,358,2,
3394782,Sunshiny Moments Retreat,17125870,Elaine,,Unincorporated Areas,37.11517,-122.11825,Private room,95,1,18,2016-08-14,0.18,1,0,0,
3402754,Charming Seacliff Beach Bungalow,17160585,Michelle,,Unincorporated Areas,36.97422,-121.91588,Entire home/apt,245,2,152,2022-09-12,1.53,1,99,35,
3439173,Aptos Forest Retreat with Hot Tub & Breakfast,17332040,Delia,,Unincorporated Areas,37.00069,-121.90197,Entire home/apt,185,2,396,2022-09-18,4.03,1,319,47,
3504131,Modern & Cozy Cottage in Seabright,1422840,Mary Beth,,City of Santa Cruz,36.97538795195718,-122.0161337455998,Entire home/apt,240,2,157,2022-09-12,1.58,1,272,26,
3511408,Sea Otter Cottage in Santa Cruz!,17679559,Shari,,Unincorporated Areas,36.9634,-121.99343,Entire home/apt,371,2,277,2022-09-20,2.77,1,104,85,
3513489,A Room in a CoHousing community,17691016,Ruth,,City of Santa Cruz,36.97136,-122.05836,Private room,40,1,6,2016-05-26,0.06,1,0,0,
3569024,Birdsong Studio by Beach--Jasmine Gardens,17966712,Marie & Peter,,Unincorporated Areas,36.96333,-121.98672,Entire home/apt,107,1,750,2022-09-16,8.33,2,118,87,
3635771,Aptos village getaway,18333870,Chris,,Unincorporated Areas,36.97888,-121.89972,Entire home/apt,132,30,4,2022-09-25,0.07,4,332,3,
3636859,West Cliff Wharf View,18341926,Jewlia,,City of Santa Cruz,36.95665,-122.02707,Entire home/apt,426,5,44,2022-09-12,0.45,1,322,8,
3685496,"Aptos - Private, love pets, easy access to all",16961983,Stan,,Unincorporated Areas,36.98885,-121.858223,Entire home/apt,150,2,269,2022-09-25,2.73,1,357,34,
3768501,Private RDM Coastal Studio with Patio near beach!,19309318,Liz,,Unincorporated Areas,36.97332,-121.90571,Entire home/apt,146,2,587,2022-06-08,5.92,2,306,51,
3768985,Spacious Family Home-Hot Tub,19983373,Carol Or Jewlia,,City of Santa Cruz,36.96724,-121.99614,Entire home/apt,575,30,28,2022-08-26,0.29,1,296,1,
3782749,"Steps to Beach, Comforts of Home",1442004,Lisa,,Unincorporated Areas,36.96941,-121.9019,Entire home/apt,148,2,489,2022-09-25,5.32,1,281,51,
3804188,Beach Suite- HotTub AquariumPasses E-Bikes&Surfbrd,2140089,Evan,,City of Capitola,36.95867,-121.97894,Entire home/apt,235,1,914,2022-09-12,11.11,2,72,143,
3936342,"Harborview, steps to Seabright Beach in Santa Cruz",15867956,Surf City,,City of Santa Cruz,36.9654,-122.00355,Entire home/apt,664,4,54,2022-08-08,0.96,56,0,7,
3936343,Seabright Harbor Hideaway,171036,Karen,,City of Santa Cruz,36.96544,-122.00594,Entire home/apt,250,2,87,2022-09-18,1.23,2,54,31,
3961176,Santa Cruz Forest meets the Ocean,20529561,Scarlett,,Unincorporated Areas,36.98101,-121.89989,Private room,500,1,24,2017-07-22,0.26,1,365,0,
4052057,Close to Everything Seabright!,4261488,Hallie,,City of Santa Cruz,36.97976,-122.0139,Entire home/apt,325,3,82,2022-09-17,0.85,4,83,15,
4151679,Magnolia Garden Bungalow Dogs/Hot Tub,11218137,Sara,,City of Capitola,36.96818,-121.96231,Entire home/apt,375,2,113,2022-09-05,1.19,1,335,35,
4204322,"Upper WS Guesthouse-2mi. from UC, Downtown & Beach",18483603,April,,City of Santa Cruz,36.96824,-122.05172,Entire home/apt,143,1,516,2022-09-12,5.75,1,131,119,
4277573,A Holiday Ocean Lover’s Delight!,22205329,Roxanne,,City of Santa Cruz,36.95485,-122.04503,Entire home/apt,600,14,6,2016-08-08,0.06,1,0,0,
4458001,West Cliff Hideaway-DISCOUNT> 30 DAY MIN/FAST WiFi,23133067,Robin,,City of Santa Cruz,36.9565,-122.03926,Entire home/apt,245,28,25,2022-08-31,0.26,1,265,7,
4461365,"Great home, great location.",17645300,Ron,,City of Santa Cruz,36.97929,-122.04409,Private room,95,5,14,2019-07-07,0.16,1,83,0,
4548614,Luxurious Sea Crest Oceanview Villa- by Main Beach,14995134,Derek,,City of Santa Cruz,36.96454,-122.02532,Entire home/apt,692,2,33,2022-09-05,0.35,3,172,4,
4604017,3BD 2.5Bath Townhouse,521723,Scott,,City of Scotts Valley,37.04988,-122.02722,Entire home/apt,225,7,13,2020-08-07,0.14,3,0,0,
4721388,West Side Santa Cruz house  at Natural Bridges,24389365,Bruce,,City of Santa Cruz,36.95092,-122.05336,Entire home/apt,531,2,59,2022-09-05,1.02,1,242,19,
4774897,Cozy Bohemian Castle in Rio Del Mar,7384560,Suzanne And Britain,,Unincorporated Areas,36.95404,-121.87004,Entire home/apt,721,2,59,2022-09-19,0.64,1,343,19,
4803817,Redwood Retreat,24748533,Mateo,,Unincorporated Areas,37.04027,-122.0778,Entire home/apt,117,2,657,2022-09-16,6.97,1,313,75,
4831433,Santa Cruz Beach Cottage Getaway,16023185,Yvonne,,City of Santa Cruz,36.96555,-122.00776,Entire home/apt,287,3,238,2022-09-20,2.56,1,27,57,
4950937,Peaceful Treehouse with Ocean View,100114471,Janiece,,Unincorporated Areas,36.98915,-121.92288,Entire home/apt,560,2,347,2022-09-10,4.19,13,324,89,
4995895,Charming house in ideal location,256935,Jason,,City of Santa Cruz,36.98099,-122.0093,Entire home/apt,300,3,44,2022-09-05,0.57,2,86,8,
